query,intent,department,priority,sentiment
The finance staff resolved my billing error quickly.,Finance,Finance Department,Medium,Positive
The anti-ragging committee is not accessible to students.,Complaint,Student Affairs,Medium,Negative
The transport bus schedule has changed without any notice.,General,Help Desk,Medium,Negative
I was wrongly penalised for something I did not do.,Complaint,Student Affairs,High,Negative
Thank you for processing my scholarship renewal on time.,Scholarship,Scholarship Cell,Low,Positive
I submitted all documents but my application still shows incomplete.,Scholarship,Scholarship Cell,High,Negative
Is there a grace mark policy in the university?,Examination,Examination Department,Medium,Neutral
"There are insects in the mess food, this is unacceptable.",Hostel,Hostel Department,High,Negative
When will the end semester exam schedule be released?,Examination,Examination Department,Low,Neutral
I was declared ineligible for scholarship without any explanation.,Scholarship,Scholarship Cell,Medium,Negative
"Thank you, my admission documents were verified quickly.",Admission,Admission Department,Medium,Positive
When will the end semester exam schedule be released?,Examination,Examination Department,Medium,Neutral
My ID card has not been issued even after 7 weeks of joining.,General,Help Desk,High,Negative
What are the accepted modes of fee payment?,Finance,Finance Department,Medium,Neutral
"My admit card was generated on time, thank you.",Examination,Examination Department,Low,Positive
I got my corrected mark sheet within 14 days.,Examination,Examination Department,Low,Positive
I paid the fee online but the portal still shows dues pending.,Finance,Finance Department,High,Negative
What documents are required for scholarship application?,Scholarship,Scholarship Cell,Medium,Neutral
I have not received any communication regarding my scholarship status.,Scholarship,Scholarship Cell,High,Negative
How do I file a formal complaint against a faculty member?,Complaint,Student Affairs,Medium,Neutral
What are the accepted modes of fee payment?,Finance,Finance Department,Low,Neutral
Where can I report a case of harassment?,Complaint,Student Affairs,Medium,Neutral
When will semester results be declared?,Examination,Examination Department,Low,Neutral
How many seats are available in the Computer Science branch?,Admission,Admission Department,Medium,Neutral
What is the fee structure for international students?,Finance,Finance Department,Low,Neutral
My scholarship was cancelled despite fulfilling all criteria.,Scholarship,Scholarship Cell,Medium,Negative
How do I check my admission status online?,Admission,Admission Department,Medium,Neutral
My admission application has been pending for 20 weeks with no update.,Admission,Admission Department,High,Negative
Staff at the help desk were very cooperative.,General,Help Desk,Low,Positive
The exam schedule was shared well in advance this time.,Examination,Examination Department,Low,Positive
My transaction failed but the amount was debited from my account.,Finance,Finance Department,High,Negative
The new student portal is very user-friendly.,General,Help Desk,Low,Positive
I appreciate the timely maintenance work done in my room.,Hostel,Hostel Department,Medium,Positive
Is off-campus placement assistance provided?,Placement,Placement Cell,Medium,Neutral
Wrong fee head was applied to my account causing confusion.,Finance,Finance Department,High,Negative
The library is closed during exam preparation time.,General,Help Desk,High,Negative
How many seats are available in the Computer Science branch?,Admission,Admission Department,Medium,Neutral
Is there a grace mark policy in the university?,Examination,Examination Department,Medium,Neutral
What is the academic calendar for this year?,General,Help Desk,Medium,Neutral
Is there a student ombudsman at this university?,Complaint,Student Affairs,Medium,Neutral
The placement cell kept us informed about every drive.,Placement,Placement Cell,Medium,Positive
Is air conditioning available in hostel rooms?,Hostel,Hostel Department,Low,Neutral
The scholarship cell staff helped me complete my application.,Scholarship,Scholarship Cell,Low,Positive
How do I get a duplicate ID card?,General,Help Desk,Low,Neutral
I was wrongly penalised for something I did not do.,Complaint,Student Affairs,High,Negative
My grade sheet shows incorrect marks for the third semester.,Examination,Examination Department,High,Negative
My admission application has been pending for 4 weeks with no update.,Admission,Admission Department,High,Negative
Thank you for ensuring a safe environment in the hostel.,Complaint,Student Affairs,Medium,Positive
My complaint was taken seriously and resolved within 12 days.,Complaint,Student Affairs,Low,Positive
I have not received any communication regarding my scholarship status.,Scholarship,Scholarship Cell,High,Negative
What is the academic calendar for this year?,General,Help Desk,Medium,Neutral
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,Medium,Negative
When is the scholarship application portal open?,Scholarship,Scholarship Cell,Medium,Neutral
Is there a student ombudsman at this university?,Complaint,Student Affairs,Medium,Neutral
"There are insects in the mess food, this is unacceptable.",Hostel,Hostel Department,High,Negative
My application was rejected without any reason given.,Admission,Admission Department,High,Negative
The exam schedule was shared well in advance this time.,Examination,Examination Department,Low,Positive
What clubs and societies are active this semester?,General,Help Desk,Low,Neutral
The campus facilities have improved a lot this year.,General,Help Desk,Low,Positive
Staff at the help desk were very cooperative.,General,Help Desk,Low,Positive
My transaction failed but the amount was debited from my account.,Finance,Finance Department,High,Negative
I reported a maintenance issue 4 weeks ago but it is still unresolved.,Hostel,Hostel Department,High,Negative
What is the process for obtaining a migration certificate?,General,Help Desk,Medium,Neutral
Thank you for processing my scholarship renewal on time.,Scholarship,Scholarship Cell,Low,Positive
I got my corrected mark sheet within 3 days.,Examination,Examination Department,Medium,Positive
What is the deadline for scholarship form submission?,Scholarship,Scholarship Cell,Low,Neutral
What happens if I miss the fee deadline?,Finance,Finance Department,Medium,Neutral
My fee refund has not been processed even after 14 months.,Finance,Finance Department,Medium,Negative
The transport bus schedule has changed without any notice.,General,Help Desk,High,Negative
What are the accepted modes of fee payment?,Finance,Finance Department,Low,Neutral
There has been no water supply in the hostel for 16 days.,Hostel,Hostel Department,High,Negative
My scholarship application has been pending for 6 months with no update.,Scholarship,Scholarship Cell,Medium,Negative
The seat allotment letter has not been issued after 25 days of payment.,Admission,Admission Department,Medium,Negative
The scholarship amount was not credited to my account this semester.,Scholarship,Scholarship Cell,High,Negative
I have been allotted a wrong exam centre far from my address.,Examination,Examination Department,High,Negative
My result shows fail but I had submitted all answers correctly.,Examination,Examination Department,High,Negative
What is the fee structure for the new academic year?,Admission,Admission Department,Medium,Neutral
Who is the grievance redressal officer?,Complaint,Student Affairs,Medium,Neutral
What is the procedure for exam form correction?,Examination,Examination Department,Low,Neutral
I am being harassed by a senior student and no action is being taken.,Complaint,Student Affairs,High,Negative
My ID card has not been issued even after 3 weeks of joining.,General,Help Desk,High,Negative
When is the scholarship application portal open?,Scholarship,Scholarship Cell,Medium,Neutral
What scholarships are available for meritorious students?,Scholarship,Scholarship Cell,Medium,Neutral
My admission application has been pending for 11 weeks with no update.,Admission,Admission Department,High,Negative
I received my admission confirmation letter on time.,Admission,Admission Department,Low,Positive
My resume was not shortlisted without any feedback.,Placement,Placement Cell,High,Negative
The orientation program was well-organised.,General,Help Desk,Low,Positive
My scholarship application has been pending for 11 months with no update.,Scholarship,Scholarship Cell,Medium,Negative
The transport bus schedule has changed without any notice.,General,Help Desk,Medium,Negative
How do I download my admit card from the portal?,Examination,Examination Department,Medium,Neutral
Staff at the help desk were very cooperative.,General,Help Desk,Low,Positive
What documents are required for scholarship application?,Scholarship,Scholarship Cell,Medium,Neutral
I was marked absent in the exam even though I was present.,Examination,Examination Department,Medium,Negative
How can I get a duplicate fee receipt?,Finance,Finance Department,Medium,Neutral
I was threatened by a classmate and reported it but nothing happened.,Complaint,Student Affairs,High,Negative
The library is closed during exam preparation time.,General,Help Desk,Medium,Negative
I have not received my offer letter even after 18 months of selection.,Placement,Placement Cell,High,Negative
Where can I report a case of harassment?,Complaint,Student Affairs,Low,Neutral
What are the transport routes available for students?,General,Help Desk,Medium,Neutral
The notice board has outdated information.,General,Help Desk,High,Negative
Are parents allowed to visit the hostel?,Hostel,Hostel Department,Low,Neutral
How do I download my fee receipt from the portal?,Finance,Finance Department,Medium,Neutral
What is the anti-ragging policy of the university?,Complaint,Student Affairs,Low,Neutral
My internal marks have not been updated for 5 subjects.,Examination,Examination Department,High,Negative
The fee receipt is not downloadable from the portal.,Finance,Finance Department,Medium,Negative
My ID card has not been issued even after 6 weeks of joining.,General,Help Desk,High,Negative
What is the fee structure for the new academic year?,Admission,Admission Department,Medium,Neutral
Is there a student ombudsman at this university?,Complaint,Student Affairs,Medium,Neutral
Is there an anonymous complaint submission option?,Complaint,Student Affairs,Medium,Neutral
"My admit card was generated on time, thank you.",Examination,Examination Department,Low,Positive
I appreciate the timely maintenance work done in my room.,Hostel,Hostel Department,Low,Positive
There is a spelling mistake in my name on the hall ticket.,Examination,Examination Department,High,Negative
What documents are required for the admission process?,Admission,Admission Department,Medium,Neutral
The seat allotment letter has not been issued after 30 days of payment.,Admission,Admission Department,Medium,Negative
The common bathroom tiles are broken and pose a safety risk.,Hostel,Hostel Department,Medium,Negative
Can final year students from all branches register?,Placement,Placement Cell,Medium,Neutral
The pre-placement talk was cancelled without informing students.,Placement,Placement Cell,Medium,Negative
I missed the registration deadline because no reminder was sent.,Placement,Placement Cell,High,Negative
I was removed from the placement list due to a clerical error.,Placement,Placement Cell,Medium,Negative
I could not find my roll number on the examination portal.,Examination,Examination Department,High,Negative
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,Medium,Negative
I am being harassed by a senior student and no action is being taken.,Complaint,Student Affairs,Medium,Negative
How can I get a duplicate fee receipt?,Finance,Finance Department,Medium,Neutral
My scholarship amount was deducted from my fee but still shows balance.,Finance,Finance Department,High,Negative
My email ID was not created even after 16 weeks of registration.,General,Help Desk,High,Negative
What is the last date for fee payment this semester?,Finance,Finance Department,Medium,Neutral
Which companies visited last year?,Placement,Placement Cell,Low,Neutral
What is the fee structure for the new academic year?,Admission,Admission Department,Low,Neutral
Is there a student ombudsman at this university?,Complaint,Student Affairs,Medium,Neutral
The help desk is not responding to my queries.,General,Help Desk,High,Negative
The challan generated has incorrect details.,Finance,Finance Department,High,Negative
I am being harassed by a senior student and no action is being taken.,Complaint,Student Affairs,Medium,Negative
I reported a maintenance issue 26 weeks ago but it is still unresolved.,Hostel,Hostel Department,High,Negative
The hostel room allotted to me is not clean.,Hostel,Hostel Department,High,Negative
What documents are needed for placement registration?,Placement,Placement Cell,Low,Neutral
"Result was declared faster than expected, appreciated.",Examination,Examination Department,Low,Positive
Thank you for ensuring a safe environment in the hostel.,Complaint,Student Affairs,Low,Positive
Power cuts in the hostel are happening every day.,Hostel,Hostel Department,High,Negative
My profile on the placement portal shows incorrect CGPA.,Placement,Placement Cell,High,Negative
The university website has been down for 24 days.,General,Help Desk,Medium,Negative
The placement cell kept us informed about every drive.,Placement,Placement Cell,Low,Positive
How many attempts are allowed for a backlog paper?,Examination,Examination Department,Low,Neutral
The hostel room was clean and well-maintained on arrival.,Hostel,Hostel Department,Medium,Positive
What scholarships are available for meritorious students?,Scholarship,Scholarship Cell,Low,Neutral
I got my corrected mark sheet within 21 days.,Examination,Examination Department,Medium,Positive
The revaluation process was handled efficiently.,Examination,Examination Department,Low,Positive
My resume was not shortlisted without any feedback.,Placement,Placement Cell,High,Negative
How do I check my admission status online?,Admission,Admission Department,Medium,Neutral
The practical exam was scheduled without any prior intimation.,Examination,Examination Department,High,Negative
Can I appear in exam if attendance is below 75 percent?,Examination,Examination Department,Medium,Neutral
When will semester results be declared?,Examination,Examination Department,Medium,Neutral
The help desk is not responding to my queries.,General,Help Desk,High,Negative
The mock interviews organised by placement cell were excellent.,Placement,Placement Cell,Medium,Positive
The admission process was smooth and well-organised this year.,Admission,Admission Department,Low,Positive
"Result was declared faster than expected, appreciated.",Examination,Examination Department,Medium,Positive
The online payment system is very convenient.,Finance,Finance Department,Low,Positive
What is the process to apply for hostel accommodation?,Hostel,Hostel Department,Low,Neutral
Discriminatory remarks were made by a professor in class.,Complaint,Student Affairs,High,Negative
I submitted all documents but my application still shows incomplete.,Scholarship,Scholarship Cell,Medium,Negative
The warden resolved my complaint within 28 hours.,Hostel,Hostel Department,Medium,Positive
My merit list position was not updated even after re-verification.,Admission,Admission Department,High,Negative
Wi-Fi in the hostel has not been working for 4 days.,Hostel,Hostel Department,High,Negative
Is there an EMI option available for fee payment?,Finance,Finance Department,Medium,Neutral
My fee refund has not been processed even after 6 months.,Finance,Finance Department,High,Negative
The mess food quality has deteriorated significantly.,Hostel,Hostel Department,High,Negative
Who is the grievance redressal officer?,Complaint,Student Affairs,Medium,Neutral
I received my admission confirmation letter on time.,Admission,Admission Department,Low,Positive
The faculty is not conducting classes regularly.,Complaint,Student Affairs,Medium,Negative
Discriminatory remarks were made by a professor in class.,Complaint,Student Affairs,Medium,Negative
The warden resolved my complaint within 4 hours.,Hostel,Hostel Department,Medium,Positive
I cannot find any information about the upcoming event.,General,Help Desk,Medium,Negative
The student affairs office handled my case professionally.,Complaint,Student Affairs,Low,Positive
When will the second merit list be published?,Admission,Admission Department,Medium,Neutral
The warden resolved my complaint within 26 hours.,Hostel,Hostel Department,Low,Positive
"There are insects in the mess food, this is unacceptable.",Hostel,Hostel Department,High,Negative
How is the scholarship amount disbursed?,Scholarship,Scholarship Cell,Medium,Neutral
The finance staff resolved my billing error quickly.,Finance,Finance Department,Low,Positive
Power cuts in the hostel are happening every day.,Hostel,Hostel Department,High,Negative
I was charged late fee even though I paid before the deadline.,Finance,Finance Department,Medium,Negative
My merit list position was not updated even after re-verification.,Admission,Admission Department,Medium,Negative
My result shows fail but I had submitted all answers correctly.,Examination,Examination Department,High,Negative
I was removed from the placement list due to a clerical error.,Placement,Placement Cell,High,Negative
What is the fee structure for international students?,Finance,Finance Department,Low,Neutral
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,High,Negative
Can I escalate my complaint if it is not resolved?,Complaint,Student Affairs,Medium,Neutral
I appreciate the quick action taken on my grievance.,Complaint,Student Affairs,Low,Positive
How is the scholarship amount disbursed?,Scholarship,Scholarship Cell,Medium,Neutral
I submitted all documents but my application still shows incomplete.,Scholarship,Scholarship Cell,Medium,Negative
My complaint was taken seriously and resolved within 28 days.,Complaint,Student Affairs,Medium,Positive
Where is the medical centre located on campus?,General,Help Desk,Medium,Neutral
What is the last date for fee payment this semester?,Finance,Finance Department,Medium,Neutral
My result shows fail but I had submitted all answers correctly.,Examination,Examination Department,Medium,Negative
What are the hostel rules for late-night entry?,Hostel,Hostel Department,Low,Neutral
How long does it take to resolve a grievance?,Complaint,Student Affairs,Medium,Neutral
I received my admission confirmation letter on time.,Admission,Admission Department,Medium,Positive
The hostel fee receipt has not been generated after payment.,Hostel,Hostel Department,Medium,Negative
What is the fee structure for international students?,Finance,Finance Department,Medium,Neutral
My grade sheet shows incorrect marks for the third semester.,Examination,Examination Department,High,Negative
"My refund was processed within 24 working days, thank you.",Finance,Finance Department,Low,Positive
The examination fee was deducted but the form was not submitted.,Examination,Examination Department,High,Negative
How long does it take to resolve a grievance?,Complaint,Student Affairs,Medium,Neutral
Is there a student ombudsman at this university?,Complaint,Student Affairs,Low,Neutral
The exam schedule was shared well in advance this time.,Examination,Examination Department,Medium,Positive
Thank you for processing my scholarship renewal on time.,Scholarship,Scholarship Cell,Low,Positive
Thank you for ensuring a safe environment in the hostel.,Complaint,Student Affairs,Low,Positive
What is the procedure for the internal complaints committee?,Complaint,Student Affairs,Low,Neutral
The mess food quality has deteriorated significantly.,Hostel,Hostel Department,Medium,Negative
How do I apply for a room change?,Hostel,Hostel Department,Medium,Neutral
Is there a student ombudsman at this university?,Complaint,Student Affairs,Low,Neutral
When does hostel allotment happen for new students?,Hostel,Hostel Department,Medium,Neutral
The revaluation process was handled efficiently.,Examination,Examination Department,Medium,Positive
How do I file a formal complaint against a faculty member?,Complaint,Student Affairs,Medium,Neutral
There is a spelling mistake in my name on the hall ticket.,Examination,Examination Department,Medium,Negative
What documents are needed for placement registration?,Placement,Placement Cell,Medium,Neutral
The transport bus schedule has changed without any notice.,General,Help Desk,High,Negative
I was marked absent in the exam even though I was present.,Examination,Examination Department,High,Negative
The hostel gate is being closed before the permitted time.,Hostel,Hostel Department,High,Negative
The mock interviews organised by placement cell were excellent.,Placement,Placement Cell,Low,Positive
I was wrongly penalised for something I did not do.,Complaint,Student Affairs,High,Negative
What is the monthly hostel fee for postgraduate students?,Hostel,Hostel Department,Medium,Neutral
Staff at the help desk were very cooperative.,General,Help Desk,Medium,Positive
I was denied entry to the hostel without any valid reason.,Hostel,Hostel Department,Medium,Negative
I was declared ineligible for scholarship without any explanation.,Scholarship,Scholarship Cell,High,Negative
Where is the medical centre located on campus?,General,Help Desk,Medium,Neutral
How do I download my fee receipt from the portal?,Finance,Finance Department,Medium,Neutral
How do I apply for a bonafide certificate?,General,Help Desk,Medium,Neutral
What clubs and societies are active this semester?,General,Help Desk,Medium,Neutral
What is the academic calendar for this year?,General,Help Desk,Medium,Neutral
Hostel Wi-Fi speed has improved a lot recently.,Hostel,Hostel Department,Low,Positive
I was removed from the placement list due to a clerical error.,Placement,Placement Cell,High,Negative
What clubs and societies are active this semester?,General,Help Desk,Medium,Neutral
What is the anti-ragging policy of the university?,Complaint,Student Affairs,Low,Neutral
How do I update my contact details on the portal?,General,Help Desk,Medium,Neutral
The seat allotment letter has not been issued after 24 days of payment.,Admission,Admission Department,Medium,Negative
I was removed from the placement list due to a clerical error.,Placement,Placement Cell,High,Negative
I have not received any communication regarding my scholarship status.,Scholarship,Scholarship Cell,High,Negative
How do I check my admission status online?,Admission,Admission Department,Medium,Neutral
Is there a grace mark policy in the university?,Examination,Examination Department,Low,Neutral
How do I check my admission status online?,Admission,Admission Department,Low,Neutral
How long does it take to resolve a grievance?,Complaint,Student Affairs,Medium,Neutral
I have not received my offer letter even after 7 months of selection.,Placement,Placement Cell,Medium,Negative
The seat allotment letter has not been issued after 13 days of payment.,Admission,Admission Department,High,Negative
The scholarship cell staff helped me complete my application.,Scholarship,Scholarship Cell,Low,Positive
What is the refund policy for withdrawn students?,Finance,Finance Department,Medium,Neutral
When will the end semester exam schedule be released?,Examination,Examination Department,Low,Neutral
I was asked to pay the fee again even after showing the receipt.,Finance,Finance Department,High,Negative
The seat allotment letter has not been issued after 2 days of payment.,Admission,Admission Department,Medium,Negative
I was asked to pay the fee again even after showing the receipt.,Finance,Finance Department,Medium,Negative
What documents are required for scholarship application?,Scholarship,Scholarship Cell,Medium,Neutral
The admission portal keeps showing an error when I try to submit my form.,Admission,Admission Department,High,Negative
Is there a provision for sports quota admission?,Admission,Admission Department,Medium,Neutral
Can I pay the fee in installments?,Finance,Finance Department,Medium,Neutral
Can I pay the fee in installments?,Finance,Finance Department,Low,Neutral
My seat allotment was updated within 19 hours as promised.,Admission,Admission Department,Low,Positive
Thank you for ensuring a safe environment in the hostel.,Complaint,Student Affairs,Low,Positive
Discriminatory remarks were made by a professor in class.,Complaint,Student Affairs,High,Negative
What is the renewal process for continuing scholarship?,Scholarship,Scholarship Cell,Medium,Neutral
Thank you for ensuring a safe environment in the hostel.,Complaint,Student Affairs,Medium,Positive
I was threatened by a classmate and reported it but nothing happened.,Complaint,Student Affairs,Medium,Negative
I am being harassed by a senior student and no action is being taken.,Complaint,Student Affairs,Medium,Negative
"My scholarship was approved quickly, I am very grateful.",Scholarship,Scholarship Cell,Low,Positive
The mess menu has improved significantly this month.,Hostel,Hostel Department,Low,Positive
I could not find my roll number on the examination portal.,Examination,Examination Department,Medium,Negative
The warden resolved my complaint within 29 hours.,Hostel,Hostel Department,Medium,Positive
I appreciate the extended fee deadline during exam time.,Finance,Finance Department,Low,Positive
My complaint submitted 17 days ago has not been acknowledged.,Complaint,Student Affairs,High,Negative
There is a case of ragging in my hostel block.,Complaint,Student Affairs,Medium,Negative
My fee refund has not been processed even after 18 months.,Finance,Finance Department,High,Negative
Hostel Wi-Fi speed has improved a lot recently.,Hostel,Hostel Department,Low,Positive
The placement cell kept us informed about every drive.,Placement,Placement Cell,Medium,Positive
I cannot find any information about the upcoming event.,General,Help Desk,Medium,Negative
I have not received my offer letter even after 23 months of selection.,Placement,Placement Cell,High,Negative
The admission portal keeps showing an error when I try to submit my form.,Admission,Admission Department,High,Negative
"I received my ID card within 14 days, thank you.",General,Help Desk,Low,Positive
Can I appear in exam if attendance is below 75 percent?,Examination,Examination Department,Medium,Neutral
I was not notified about the campus drive that happened yesterday.,Placement,Placement Cell,High,Negative
What documents are needed for placement registration?,Placement,Placement Cell,Medium,Neutral
My scholarship was cancelled despite fulfilling all criteria.,Scholarship,Scholarship Cell,High,Negative
Is there a training program before placements?,Placement,Placement Cell,Medium,Neutral
The company I was placed in has deferred joining by 21 months.,Placement,Placement Cell,High,Negative
What is the deadline for scholarship form submission?,Scholarship,Scholarship Cell,Low,Neutral
The fee portal worked smoothly and I received the receipt instantly.,Finance,Finance Department,Low,Positive
The placement portal login is not working for me.,Placement,Placement Cell,Medium,Negative
The staff at the admission office was very helpful.,Admission,Admission Department,Medium,Positive
The faculty is not conducting classes regularly.,Complaint,Student Affairs,Medium,Negative
The library is closed during exam preparation time.,General,Help Desk,High,Negative
Who is the grievance redressal officer?,Complaint,Student Affairs,Medium,Neutral
What is the anti-ragging policy of the university?,Complaint,Student Affairs,Low,Neutral
I was not notified about the campus drive that happened yesterday.,Placement,Placement Cell,Medium,Negative
The library is closed during exam preparation time.,General,Help Desk,High,Negative
When will the end semester exam schedule be released?,Examination,Examination Department,Medium,Neutral
My resume was not shortlisted without any feedback.,Placement,Placement Cell,High,Negative
My resume was not shortlisted without any feedback.,Placement,Placement Cell,High,Negative
How do I update my contact details on the portal?,General,Help Desk,Low,Neutral
The merit scholarship process was transparent and fair.,Scholarship,Scholarship Cell,Medium,Positive
I missed the registration deadline because no reminder was sent.,Placement,Placement Cell,High,Negative
What is the last date for admission form submission?,Admission,Admission Department,Medium,Neutral
I was asked to pay the fee again even after showing the receipt.,Finance,Finance Department,High,Negative
What documents are required for scholarship application?,Scholarship,Scholarship Cell,Low,Neutral
The examination fee was deducted but the form was not submitted.,Examination,Examination Department,High,Negative
Can I escalate my complaint if it is not resolved?,Complaint,Student Affairs,Medium,Neutral
What action is taken against proven ragging cases?,Complaint,Student Affairs,Medium,Neutral
I was asked to pay the fee again even after showing the receipt.,Finance,Finance Department,High,Negative
What is the passing criteria for practical exams?,Examination,Examination Department,Medium,Neutral
How do I access the university Wi-Fi?,General,Help Desk,Medium,Neutral
"I got placed in a good company, thank you to the placement cell.",Placement,Placement Cell,Medium,Positive
Can I appear in exam if attendance is below 75 percent?,Examination,Examination Department,Medium,Neutral
Are there any internship opportunities through the placement cell?,Placement,Placement Cell,Low,Neutral
The university website has been down for 11 days.,General,Help Desk,High,Negative
My internal marks have not been updated for 5 subjects.,Examination,Examination Department,High,Negative
The online payment system is very convenient.,Finance,Finance Department,Low,Positive
What are the transport routes available for students?,General,Help Desk,Medium,Neutral
What items are allowed and not allowed in the hostel?,Hostel,Hostel Department,Medium,Neutral
The scholarship cell staff helped me complete my application.,Scholarship,Scholarship Cell,Medium,Positive
What was the highest package offered last year?,Placement,Placement Cell,Low,Neutral
My complaint was taken seriously and resolved within 28 days.,Complaint,Student Affairs,Medium,Positive
I received my offer letter within 10 days of the interview.,Placement,Placement Cell,Low,Positive
The orientation program was well-organised.,General,Help Desk,Medium,Positive
What was the highest package offered last year?,Placement,Placement Cell,Medium,Neutral
The finance staff resolved my billing error quickly.,Finance,Finance Department,Medium,Positive
The fee receipt is not downloadable from the portal.,Finance,Finance Department,High,Negative
The scholarship cell staff helped me complete my application.,Scholarship,Scholarship Cell,Low,Positive
Revaluation result is pending for over 9 months.,Examination,Examination Department,High,Negative
The mock interviews organised by placement cell were excellent.,Placement,Placement Cell,Low,Positive
Is there an EMI option available for fee payment?,Finance,Finance Department,Low,Neutral
Is there any concession for single-parent students?,Finance,Finance Department,Medium,Neutral
I have been allotted a wrong exam centre far from my address.,Examination,Examination Department,Medium,Negative
My backlog exam date clashes with my regular exam schedule.,Examination,Examination Department,High,Negative
What clubs and societies are active this semester?,General,Help Desk,Medium,Neutral
The mess menu has improved significantly this month.,Hostel,Hostel Department,Low,Positive
How do I apply for a room change?,Hostel,Hostel Department,Medium,Neutral
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,High,Negative
There is a spelling mistake in my name on the hall ticket.,Examination,Examination Department,Medium,Negative
What is the fee structure for international students?,Finance,Finance Department,Medium,Neutral
How long does it take to resolve a grievance?,Complaint,Student Affairs,Medium,Neutral
The admission portal keeps showing an error when I try to submit my form.,Admission,Admission Department,Medium,Negative
The faculty is not conducting classes regularly.,Complaint,Student Affairs,Medium,Negative
The exam timetable was changed without prior notice.,Examination,Examination Department,Medium,Negative
What are the hostel rules for late-night entry?,Hostel,Hostel Department,Medium,Neutral
How many attempts are allowed for a backlog paper?,Examination,Examination Department,Low,Neutral
The revaluation process was handled efficiently.,Examination,Examination Department,Low,Positive
My admit card has not been generated even though exams start tomorrow.,Examination,Examination Department,High,Negative
How do I apply for a bonafide certificate?,General,Help Desk,Medium,Neutral
The scholarship amount was not credited to my account this semester.,Scholarship,Scholarship Cell,High,Negative
I paid the fee online but the portal still shows dues pending.,Finance,Finance Department,Medium,Negative
What are the library timings on weekends?,General,Help Desk,Medium,Neutral
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,High,Negative
I was declared ineligible for scholarship without any explanation.,Scholarship,Scholarship Cell,High,Negative
What is the academic calendar for this year?,General,Help Desk,Medium,Neutral
