query,sentiment
The scholarship cell staff helped me complete my application.,Positive
The anti-ragging committee is not accessible to students.,Negative
The faculty is not conducting classes regularly.,Negative
The common bathroom tiles are broken and pose a safety risk.,Negative
What is the academic calendar for this year?,Neutral
The student affairs office handled my case professionally.,Positive
My grievance has been ignored by the department for 2 weeks.,Negative
I was charged late fee even though I paid before the deadline.,Negative
Can I pay the fee in installments?,Neutral
The student affairs office handled my case professionally.,Positive
Is there a provision for sports quota admission?,Neutral
"I got placed in a good company, thank you to the placement cell.",Positive
I was removed from the placement list due to a clerical error.,Negative
The mess food quality has deteriorated significantly.,Negative
I was marked absent in the exam even though I was present.,Negative
I was asked to submit documents twice but still no confirmation.,Negative
When will semester results be declared?,Neutral
I was declared ineligible for scholarship without any explanation.,Negative
My application was rejected without any reason given.,Negative
How many seats are available in the Computer Science branch?,Neutral
I was asked to pay the fee again even after showing the receipt.,Negative
I received my admission confirmation letter on time.,Positive
What is the passing criteria for practical exams?,Neutral
My profile on the placement portal shows incorrect CGPA.,Negative
What is the process to apply for revaluation?,Neutral
When will semester results be declared?,Neutral
What is the procedure for the internal complaints committee?,Neutral
Is there a scholarship for differently-abled students?,Neutral
There has been no water supply in the hostel for 11 days.,Negative
I have not received any communication regarding my scholarship status.,Negative
The transport bus schedule has changed without any notice.,Negative
How many attempts are allowed for a backlog paper?,Neutral
I was denied entry to the hostel without any valid reason.,Negative
How long does it take to resolve a grievance?,Neutral
What is the process for NRI admission?,Neutral
Which companies visited last year?,Neutral
What was the highest package offered last year?,Neutral
The merit scholarship process was transparent and fair.,Positive
Thank you for ensuring a safe environment in the hostel.,Positive
The placement cell kept us informed about every drive.,Positive
Thank you for ensuring a safe environment in the hostel.,Positive
My seat allotment was updated within 17 hours as promised.,Positive
My application was rejected without any reason given.,Negative
My ID card has not been issued even after 8 weeks of joining.,Negative
Revaluation result is pending for over 10 months.,Negative
What is the income limit for need-based scholarship?,Neutral
How long does it take to resolve a grievance?,Neutral
"My scholarship was approved quickly, I am very grateful.",Positive
What is the process to apply for hostel accommodation?,Neutral
I appreciate the quick action taken on my grievance.,Positive
How many attempts are allowed for a backlog paper?,Neutral
How do I download my fee receipt from the portal?,Neutral
The notice board has outdated information.,Negative
My scholarship was cancelled despite fulfilling all criteria.,Negative
"I received my ID card within 14 days, thank you.",Positive
The company I was placed in has deferred joining by 15 months.,Negative
"Result was declared faster than expected, appreciated.",Positive
The warden resolved my complaint within 20 hours.,Positive
What documents are required for the admission process?,Neutral
I have not received my offer letter even after 2 months of selection.,Negative
I was marked absent in the exam even though I was present.,Negative
Is there a grace mark policy in the university?,Neutral
There has been no water supply in the hostel for 5 days.,Negative
The warden resolved my complaint within 17 hours.,Positive
The mock interviews organised by placement cell were excellent.,Positive
Can I appear in exam if attendance is below 75 percent?,Neutral
What happens if I miss the fee deadline?,Neutral
My roommate is causing disturbance but the warden is not taking action.,Negative
My fee refund has not been processed even after 24 months.,Negative
I appreciate the extended fee deadline during exam time.,Positive
How many seats are available in the Computer Science branch?,Neutral
I was asked to pay the fee again even after showing the receipt.,Negative
Discriminatory remarks were made by a professor in class.,Negative
What is the academic calendar for this year?,Neutral
My roommate is causing disturbance but the warden is not taking action.,Negative
I cannot find any information about the upcoming event.,Negative
Thank you for processing my scholarship renewal on time.,Positive
Can I apply for multiple scholarships simultaneously?,Neutral
The placement portal login is not working for me.,Negative
What is the monthly hostel fee for postgraduate students?,Neutral
Is there a training program before placements?,Neutral
My complaint was taken seriously and resolved within 30 days.,Positive
I reported a maintenance issue 28 weeks ago but it is still unresolved.,Negative
The staff at the admission office was very helpful.,Positive
My merit list position was not updated even after re-verification.,Negative
The exam timetable was changed without prior notice.,Negative
I have been charged hostel fee even though I am a day scholar.,Negative
The online payment system is very convenient.,Positive
Is there a student ombudsman at this university?,Neutral
My application was rejected without any reason given.,Negative
What is the income limit for need-based scholarship?,Neutral
The new student portal is very user-friendly.,Positive
I missed the counselling round due to no notification from the portal.,Negative
"I got placed in a good company, thank you to the placement cell.",Positive
A faculty member is giving biased marks to certain students.,Negative
The anti-ragging committee is not accessible to students.,Negative
What is the fee structure for international students?,Neutral
How many attempts are allowed for a backlog paper?,Neutral
What is the fee structure for international students?,Neutral
"Result was declared faster than expected, appreciated.",Positive
The finance staff resolved my billing error quickly.,Positive
The university website has been down for 29 days.,Negative
My result shows fail but I had submitted all answers correctly.,Negative
"Thank you, my admission documents were verified quickly.",Positive
I have not received my offer letter even after 30 months of selection.,Negative
"My admit card was generated on time, thank you.",Positive
"Result was declared faster than expected, appreciated.",Positive
Power cuts in the hostel are happening every day.,Negative
Hostel Wi-Fi speed has improved a lot recently.,Positive
What is the anti-ragging policy of the university?,Neutral
How do I update my contact details on the portal?,Neutral
How many seats are available in the Computer Science branch?,Neutral
The hostel room was clean and well-maintained on arrival.,Positive
Hostel Wi-Fi speed has improved a lot recently.,Positive
The warden resolved my complaint within 12 hours.,Positive
The practical exam was scheduled without any prior intimation.,Negative
The mess food quality has deteriorated significantly.,Negative
The exam schedule was shared well in advance this time.,Positive
The orientation program was well-organised.,Positive
What documents are required for the admission process?,Neutral
Where can I report a case of harassment?,Neutral
The scholarship cell staff helped me complete my application.,Positive
Is there a provision for sports quota admission?,Neutral
My scholarship application has been pending for 16 months with no update.,Negative
The warden resolved my complaint within 27 hours.,Positive
The mess menu has improved significantly this month.,Positive
The campus facilities have improved a lot this year.,Positive
I cannot find any information about the upcoming event.,Negative
I have been allotted a wrong exam centre far from my address.,Negative
Wi-Fi in the hostel has not been working for 9 days.,Negative
"My admit card was generated on time, thank you.",Positive
My merit list position was not updated even after re-verification.,Negative
How do I file a formal complaint against a faculty member?,Neutral
My admission application has been pending for 5 weeks with no update.,Negative
Is there a student ombudsman at this university?,Neutral
When will semester results be declared?,Neutral
What is the process to apply for hostel accommodation?,Neutral
I appreciate the extended fee deadline during exam time.,Positive
Is off-campus placement assistance provided?,Neutral
Who is the grievance redressal officer?,Neutral
The warden resolved my complaint within 8 hours.,Positive
Can I appear in exam if attendance is below 75 percent?,Neutral
The staff at the admission office was very helpful.,Positive
The exam schedule was shared well in advance this time.,Positive
The staff at the admission office was very helpful.,Positive
What is the procedure for the internal complaints committee?,Neutral
I was declared ineligible for scholarship without any explanation.,Negative
The orientation program was well-organised.,Positive
The fee portal worked smoothly and I received the receipt instantly.,Positive
The scholarship cell staff helped me complete my application.,Positive
"Result was declared faster than expected, appreciated.",Positive
Is laundry service available in the hostel?,Neutral
What is the process to apply for hostel accommodation?,Neutral
What is the academic calendar for this year?,Neutral
The revaluation process was handled efficiently.,Positive
When will semester results be declared?,Neutral
Hostel Wi-Fi speed has improved a lot recently.,Positive
The university website has been down for 10 days.,Negative
My result shows fail but I had submitted all answers correctly.,Negative
I was not notified about the campus drive that happened yesterday.,Negative
What are the library timings on weekends?,Neutral
The new student portal is very user-friendly.,Positive
The warden resolved my complaint within 30 hours.,Positive
My internal marks have not been updated for 24 subjects.,Negative
What is the exam form fill-up last date?,Neutral
How do I download my admit card from the portal?,Neutral
What items are allowed and not allowed in the hostel?,Neutral
Revaluation result is pending for over 6 months.,Negative
My application was rejected without any reason given.,Negative
What is the income limit for need-based scholarship?,Neutral
Hostel Wi-Fi speed has improved a lot recently.,Positive
Is there any concession for single-parent students?,Neutral
"My scholarship was approved quickly, I am very grateful.",Positive
Who is the grievance redressal officer?,Neutral
The hostel room was clean and well-maintained on arrival.,Positive
What are the transport routes available for students?,Neutral
The scholarship cell staff helped me complete my application.,Positive
Can I pay the fee in installments?,Neutral
Is there a grace mark policy in the university?,Neutral
Is there a grace mark policy in the university?,Neutral
When will campus placements begin this year?,Neutral
A faculty member is giving biased marks to certain students.,Negative
The help desk is not responding to my queries.,Negative
I received the scholarship amount before the semester began.,Positive
"My refund was processed within 27 working days, thank you.",Positive
Is there an EMI option available for fee payment?,Neutral
What is the last date for admission form submission?,Neutral
The placement cell kept us informed about every drive.,Positive
There has been no water supply in the hostel for 30 days.,Negative
What happens if I miss the fee deadline?,Neutral
I have not received my offer letter even after 14 months of selection.,Negative
What was the highest package offered last year?,Neutral
The admission process was smooth and well-organised this year.,Positive
The seat allotment letter has not been issued after 4 days of payment.,Negative
Can I appear in exam if attendance is below 75 percent?,Neutral
I was declared ineligible for scholarship without any explanation.,Negative
My seat allotment was updated within 20 hours as promised.,Positive
Is there any concession for single-parent students?,Neutral
What is the process for NRI admission?,Neutral
The faculty is not conducting classes regularly.,Negative
The transport bus schedule has changed without any notice.,Negative
What is the income limit for need-based scholarship?,Neutral
My scholarship was cancelled despite fulfilling all criteria.,Negative
How do I register on the placement portal?,Neutral
What are the accepted modes of fee payment?,Neutral
The transport bus schedule has changed without any notice.,Negative
Thank you for ensuring a safe environment in the hostel.,Positive
What is the fee structure for international students?,Neutral
Is there any concession for single-parent students?,Neutral
How many seats are available in the Computer Science branch?,Neutral
The campus facilities have improved a lot this year.,Positive
Is there a government scholarship tie-up with this university?,Neutral
How do I download my admit card from the portal?,Neutral
"My refund was processed within 30 working days, thank you.",Positive
A faculty member is giving biased marks to certain students.,Negative
"Thank you, my admission documents were verified quickly.",Positive
Is there a training program before placements?,Neutral
The mock interviews organised by placement cell were excellent.,Positive
Staff at the help desk were very cooperative.,Positive
The hostel room was clean and well-maintained on arrival.,Positive
The new student portal is very user-friendly.,Positive
My scholarship was cancelled despite fulfilling all criteria.,Negative
The fee portal worked smoothly and I received the receipt instantly.,Positive
My grade sheet shows incorrect marks for the third semester.,Negative
I paid the fee online but the portal still shows dues pending.,Negative
There is a spelling mistake in my name on the hall ticket.,Negative
Can I pay the fee in installments?,Neutral
There is a case of ragging in my hostel block.,Negative
Is direct admission available for lateral entry students?,Neutral
I missed the registration deadline because no reminder was sent.,Negative
What are the library timings on weekends?,Neutral
"My refund was processed within 12 working days, thank you.",Positive
When does hostel allotment happen for new students?,Neutral
What documents are needed for placement registration?,Neutral
"My refund was processed within 13 working days, thank you.",Positive
My grade sheet shows incorrect marks for the third semester.,Negative
The new student portal is very user-friendly.,Positive
Is air conditioning available in hostel rooms?,Neutral
What is the process to apply for hostel accommodation?,Neutral
Thank you for ensuring a safe environment in the hostel.,Positive
Where can I report a case of harassment?,Neutral
Is direct admission available for lateral entry students?,Neutral
I cannot find any information about the upcoming event.,Negative
Can I appear in exam if attendance is below 75 percent?,Neutral
Hostel Wi-Fi speed has improved a lot recently.,Positive
What is the minimum CGPA required for placement registration?,Neutral
The help desk is not responding to my queries.,Negative
When will the end semester exam schedule be released?,Neutral
Is there a student ombudsman at this university?,Neutral
Can I escalate my complaint if it is not resolved?,Neutral
"Result was declared faster than expected, appreciated.",Positive
The fee portal worked smoothly and I received the receipt instantly.,Positive
The hostel room was clean and well-maintained on arrival.,Positive
What is the exam form fill-up last date?,Neutral
The admission portal keeps showing an error when I try to submit my form.,Negative
Can I appear in exam if attendance is below 75 percent?,Neutral
What is the process to apply for revaluation?,Neutral
The revaluation process was handled efficiently.,Positive
What is the refund policy for withdrawn students?,Neutral
The exam timetable was changed without prior notice.,Negative
I have not received any communication regarding my scholarship status.,Negative
Where is the medical centre located on campus?,Neutral
What is the process to apply for hostel accommodation?,Neutral
I appreciate the timely maintenance work done in my room.,Positive
The renewal form for scholarship is not available on the portal.,Negative
The anti-ragging cell responded to my complaint immediately.,Positive
The practical exam was scheduled without any prior intimation.,Negative
When will semester results be declared?,Neutral
I missed the registration deadline because no reminder was sent.,Negative
The placement cell has not updated the company list for this year.,Negative
Thank you for processing my scholarship renewal on time.,Positive
The placement training sessions were very useful.,Positive
Discriminatory remarks were made by a professor in class.,Negative
There has been no water supply in the hostel for 2 days.,Negative
I received the scholarship amount before the semester began.,Positive
I received the scholarship amount before the semester began.,Positive
What documents are required for scholarship application?,Neutral
How do I register on the placement portal?,Neutral
The online payment system is very convenient.,Positive
"My refund was processed within 20 working days, thank you.",Positive
The online payment system is very convenient.,Positive
Staff at the help desk were very cooperative.,Positive
When will the end semester exam schedule be released?,Neutral
There is a case of ragging in my hostel block.,Negative
The placement portal login is not working for me.,Negative
How many attempts are allowed for a backlog paper?,Neutral
What is the last date for admission form submission?,Neutral
The placement training sessions were very useful.,Positive
What scholarships are available for meritorious students?,Neutral
I appreciate the quick action taken on my grievance.,Positive
Is there a student ombudsman at this university?,Neutral
What is the last date for fee payment this semester?,Neutral
I received the scholarship amount before the semester began.,Positive
What is the refund policy for withdrawn students?,Neutral
What is the fee structure for the new academic year?,Neutral
Hostel Wi-Fi speed has improved a lot recently.,Positive
The transport bus schedule has changed without any notice.,Negative
The common bathroom tiles are broken and pose a safety risk.,Negative
A faculty member is giving biased marks to certain students.,Negative
I got my corrected mark sheet within 11 days.,Positive
What is the procedure for the internal complaints committee?,Neutral
What scholarships are available for meritorious students?,Neutral
The staff at the admission office was very helpful.,Positive
The challan generated has incorrect details.,Negative
The orientation program was well-organised.,Positive
The placement cell kept us informed about every drive.,Positive
The renewal form for scholarship is not available on the portal.,Negative
What is the passing criteria for practical exams?,Neutral
"My admit card was generated on time, thank you.",Positive
Who is the grievance redressal officer?,Neutral
What are the library timings on weekends?,Neutral
Is off-campus placement assistance provided?,Neutral
My scholarship application has been pending for 15 months with no update.,Negative
"Thank you, my admission documents were verified quickly.",Positive
What is the process to apply for revaluation?,Neutral
I missed the counselling round due to no notification from the portal.,Negative
My email ID was not created even after 23 weeks of registration.,Negative
The anti-ragging cell responded to my complaint immediately.,Positive
The hostel room was clean and well-maintained on arrival.,Positive
I was marked absent in the exam even though I was present.,Negative
"I received my ID card within 19 days, thank you.",Positive
What documents are needed for placement registration?,Neutral
My backlog exam date clashes with my regular exam schedule.,Negative
The mess menu has improved significantly this month.,Positive
The common bathroom tiles are broken and pose a safety risk.,Negative
What documents are required for the admission process?,Neutral
The help desk is not responding to my queries.,Negative
What is the anti-ragging policy of the university?,Neutral
The revaluation process was handled efficiently.,Positive
Is there an anonymous complaint submission option?,Neutral
The orientation program was well-organised.,Positive
My backlog exam date clashes with my regular exam schedule.,Negative
The exam schedule was shared well in advance this time.,Positive
How do I access the university Wi-Fi?,Neutral
I missed the registration deadline because no reminder was sent.,Negative
What is the passing criteria for practical exams?,Neutral
The campus facilities have improved a lot this year.,Positive
The mess menu has improved significantly this month.,Positive
The mess menu has improved significantly this month.,Positive
How do I download my fee receipt from the portal?,Neutral
The university website has been down for 12 days.,Negative
What is the procedure for exam form correction?,Neutral
My seat allotment was updated within 5 hours as promised.,Positive
Is there a grace mark policy in the university?,Neutral
I received my offer letter within 29 days of the interview.,Positive
The hostel room was clean and well-maintained on arrival.,Positive
What was the highest package offered last year?,Neutral
The library is closed during exam preparation time.,Negative
The staff at the admission office was very helpful.,Positive
Wrong fee head was applied to my account causing confusion.,Negative
What was the highest package offered last year?,Neutral
I was not notified about the campus drive that happened yesterday.,Negative
I received my admission confirmation letter on time.,Positive
I am being harassed by a senior student and no action is being taken.,Negative
Discriminatory remarks were made by a professor in class.,Negative
My profile on the placement portal shows incorrect CGPA.,Negative
How do I apply for a room change?,Neutral
The staff at the admission office was very helpful.,Positive
The anti-ragging cell responded to my complaint immediately.,Positive
Is laundry service available in the hostel?,Neutral
My grade sheet shows incorrect marks for the third semester.,Negative
The challan generated has incorrect details.,Negative
My profile on the placement portal shows incorrect CGPA.,Negative
What is the fee structure for international students?,Neutral
The anti-ragging committee is not accessible to students.,Negative
The scholarship portal is not accepting my Aadhaar number.,Negative
What documents are required for scholarship application?,Neutral
I received my admission confirmation letter on time.,Positive
What was the highest package offered last year?,Neutral
Is there any concession for single-parent students?,Neutral
The merit scholarship process was transparent and fair.,Positive
I was asked to pay the fee again even after showing the receipt.,Negative
The common bathroom tiles are broken and pose a safety risk.,Negative
The transport bus schedule has changed without any notice.,Negative
How do I check my admission status online?,Neutral
I submitted all documents but my admission status still shows incomplete.,Negative
I appreciate the timely maintenance work done in my room.,Positive
The examination fee was deducted but the form was not submitted.,Negative
Can I appear in exam if attendance is below 75 percent?,Neutral
"My scholarship was approved quickly, I am very grateful.",Positive
Staff at the help desk were very cooperative.,Positive
The anti-ragging committee is not accessible to students.,Negative
The help desk is not responding to my queries.,Negative
The merit scholarship process was transparent and fair.,Positive
How do I register on the placement portal?,Neutral
The exam timetable was changed without prior notice.,Negative
How do I apply for a room change?,Neutral
The placement training sessions were very useful.,Positive
Is there a grace mark policy in the university?,Neutral
My complaint was taken seriously and resolved within 28 days.,Positive
Are there any internship opportunities through the placement cell?,Neutral
My admission application has been pending for 2 weeks with no update.,Negative
What is the fee structure for the new academic year?,Neutral
I was threatened by a classmate and reported it but nothing happened.,Negative
"My refund was processed within 23 working days, thank you.",Positive
When will the end semester exam schedule be released?,Neutral
Thank you for processing my scholarship renewal on time.,Positive
Is there a student ombudsman at this university?,Neutral
The anti-ragging cell responded to my complaint immediately.,Positive
The exam schedule was shared well in advance this time.,Positive
Thank you for ensuring a safe environment in the hostel.,Positive
The finance staff resolved my billing error quickly.,Positive
My complaint was taken seriously and resolved within 16 days.,Positive
The placement cell kept us informed about every drive.,Positive
What items are allowed and not allowed in the hostel?,Neutral
The admission process was smooth and well-organised this year.,Positive
When will semester results be declared?,Neutral
What is the process for obtaining a migration certificate?,Neutral
Thank you for processing my scholarship renewal on time.,Positive
What is the procedure to vacate the hostel at year end?,Neutral
What is the last date for admission form submission?,Neutral
My transaction failed but the amount was debited from my account.,Negative
I have not received my offer letter even after 8 months of selection.,Negative
I appreciate the extended fee deadline during exam time.,Positive
My fee refund has not been processed even after 7 months.,Negative
What is the last date for fee payment this semester?,Neutral
How do I check my admission status online?,Neutral
How do I access the university Wi-Fi?,Neutral
"My admit card was generated on time, thank you.",Positive
Staff at the help desk were very cooperative.,Positive
What is the last date for fee payment this semester?,Neutral
Is direct admission available for lateral entry students?,Neutral
My scholarship was cancelled despite fulfilling all criteria.,Negative
I submitted all documents but my admission status still shows incomplete.,Negative
I got my corrected mark sheet within 3 days.,Positive
"I got placed in a good company, thank you to the placement cell.",Positive
My grievance has been ignored by the department for 30 weeks.,Negative
There is a case of ragging in my hostel block.,Negative
The placement training sessions were very useful.,Positive
Thank you for ensuring a safe environment in the hostel.,Positive
Admission office is not responding to my emails for 29 days.,Negative
Wrong category was assigned to me during the admission process.,Negative
I have not received any communication regarding my scholarship status.,Negative
The finance staff resolved my billing error quickly.,Positive
What is the process for NRI admission?,Neutral
Staff at the help desk were very cooperative.,Positive
Is there any concession for single-parent students?,Neutral
How do I access the university Wi-Fi?,Neutral
The notice board has outdated information.,Negative
What is the anti-ragging policy of the university?,Neutral
What is the process to apply for revaluation?,Neutral
When is the scholarship application portal open?,Neutral
My complaint was taken seriously and resolved within 22 days.,Positive
Hostel Wi-Fi speed has improved a lot recently.,Positive
Wrong category was assigned to me during the admission process.,Negative
The scholarship portal is not accepting my Aadhaar number.,Negative
The help desk is not responding to my queries.,Negative
I was asked to pay the fee again even after showing the receipt.,Negative
The campus facilities have improved a lot this year.,Positive
When will the end semester exam schedule be released?,Neutral
What is the monthly hostel fee for postgraduate students?,Neutral
How long does it take to resolve a grievance?,Neutral
"There are insects in the mess food, this is unacceptable.",Negative
I missed the counselling round due to no notification from the portal.,Negative
"Thank you, my admission documents were verified quickly.",Positive
The scholarship portal is not accepting my Aadhaar number.,Negative
The new student portal is very user-friendly.,Positive
"Thank you, my admission documents were verified quickly.",Positive
"My scholarship was approved quickly, I am very grateful.",Positive
I missed the counselling round due to no notification from the portal.,Negative
Is there an anonymous complaint submission option?,Neutral
What is the procedure to vacate the hostel at year end?,Neutral
The merit scholarship process was transparent and fair.,Positive
The anti-ragging cell responded to my complaint immediately.,Positive
How is the scholarship amount disbursed?,Neutral
My profile on the placement portal shows incorrect CGPA.,Negative
The placement cell kept us informed about every drive.,Positive
Staff at the help desk were very cooperative.,Positive
Is air conditioning available in hostel rooms?,Neutral
The hostel fee receipt has not been generated after payment.,Negative
Who is the grievance redressal officer?,Neutral
The exam timetable was changed without prior notice.,Negative
What is the procedure for exam form correction?,Neutral
How do I download my fee receipt from the portal?,Neutral
My email ID was not created even after 17 weeks of registration.,Negative
The mess menu has improved significantly this month.,Positive
The mock interviews organised by placement cell were excellent.,Positive
The mess menu has improved significantly this month.,Positive
I cannot find any information about the upcoming event.,Negative
"My refund was processed within 14 working days, thank you.",Positive
What is the process for NRI admission?,Neutral
My scholarship was cancelled despite fulfilling all criteria.,Negative
How do I check my admission status online?,Neutral
"I received my ID card within 3 days, thank you.",Positive
What is the deadline for scholarship form submission?,Neutral
The scholarship portal is not accepting my Aadhaar number.,Negative
What scholarships are available for meritorious students?,Neutral
"My admit card was generated on time, thank you.",Positive
Is there a provision for sports quota admission?,Neutral
I could not find my roll number on the examination portal.,Negative
I was declared ineligible for scholarship without any explanation.,Negative
My profile on the placement portal shows incorrect CGPA.,Negative
Power cuts in the hostel are happening every day.,Negative
My scholarship was cancelled despite fulfilling all criteria.,Negative
I was wrongly penalised for something I did not do.,Negative
I reported a maintenance issue 18 weeks ago but it is still unresolved.,Negative
Thank you for ensuring a safe environment in the hostel.,Positive
I have not received any communication regarding my scholarship status.,Negative
What are the accepted modes of fee payment?,Neutral
Thank you for ensuring a safe environment in the hostel.,Positive
How can I get a duplicate fee receipt?,Neutral
What clubs and societies are active this semester?,Neutral
How many seats are available in the Computer Science branch?,Neutral
My scholarship application has been pending for 26 months with no update.,Negative
I was asked to submit documents twice but still no confirmation.,Negative
Thank you for ensuring a safe environment in the hostel.,Positive
The finance department is not responding to my refund request.,Negative
The merit scholarship process was transparent and fair.,Positive
The help desk is not responding to my queries.,Negative
I have been charged hostel fee even though I am a day scholar.,Negative
The mess menu has improved significantly this month.,Positive
Can I appear in exam if attendance is below 75 percent?,Neutral
The orientation program was well-organised.,Positive
Thank you for processing my scholarship renewal on time.,Positive
Is there a government scholarship tie-up with this university?,Neutral
I am being harassed by a senior student and no action is being taken.,Negative
The anti-ragging committee is not accessible to students.,Negative
Are parents allowed to visit the hostel?,Neutral
The merit scholarship process was transparent and fair.,Positive
The scholarship cell staff helped me complete my application.,Positive
I was asked to submit documents twice but still no confirmation.,Negative
The placement training sessions were very useful.,Positive
My grievance has been ignored by the department for 24 weeks.,Negative
When will campus placements begin this year?,Neutral
I missed the registration deadline because no reminder was sent.,Negative
I appreciate the quick action taken on my grievance.,Positive
Thank you for ensuring a safe environment in the hostel.,Positive
The scholarship cell staff helped me complete my application.,Positive
I appreciate the extended fee deadline during exam time.,Positive
The mock interviews organised by placement cell were excellent.,Positive
I was marked absent in the exam even though I was present.,Negative
The exam schedule was shared well in advance this time.,Positive
Is laundry service available in the hostel?,Neutral
The placement training sessions were very useful.,Positive
The student affairs office handled my case professionally.,Positive
The placement training sessions were very useful.,Positive
I appreciate the quick action taken on my grievance.,Positive
The scholarship cell staff helped me complete my application.,Positive
The scholarship portal is not accepting my Aadhaar number.,Negative
The scholarship portal is not accepting my Aadhaar number.,Negative
"My refund was processed within 12 working days, thank you.",Positive
My grade sheet shows incorrect marks for the third semester.,Negative
What documents are needed for placement registration?,Neutral
The scholarship portal is not accepting my Aadhaar number.,Negative
The revaluation process was handled efficiently.,Positive
The university website has been down for 23 days.,Negative
I paid the fee online but the portal still shows dues pending.,Negative
When will the end semester exam schedule be released?,Neutral
The mock interviews organised by placement cell were excellent.,Positive
What is the process to apply for hostel accommodation?,Neutral
Can I change my branch after the first year?,Neutral
What was the highest package offered last year?,Neutral
"My admit card was generated on time, thank you.",Positive
Is there any concession for single-parent students?,Neutral
I have not received any communication regarding my scholarship status.,Negative
There is a spelling mistake in my name on the hall ticket.,Negative
The mock interviews organised by placement cell were excellent.,Positive
The mess food quality has deteriorated significantly.,Negative
I missed the registration deadline because no reminder was sent.,Negative
The campus facilities have improved a lot this year.,Positive
How do I access the university Wi-Fi?,Neutral
Is there any concession for single-parent students?,Neutral
There is a case of ragging in my hostel block.,Negative
The placement training sessions were very useful.,Positive
The anti-ragging committee is not accessible to students.,Negative
The warden resolved my complaint within 13 hours.,Positive
My ID card has not been issued even after 21 weeks of joining.,Negative
The scholarship cell staff helped me complete my application.,Positive
The merit scholarship process was transparent and fair.,Positive
The common bathroom tiles are broken and pose a safety risk.,Negative
What are the transport routes available for students?,Neutral
"I received my ID card within 20 days, thank you.",Positive
"I got placed in a good company, thank you to the placement cell.",Positive
What is the fee structure for the new academic year?,Neutral
The hostel fee receipt has not been generated after payment.,Negative
Can I apply for multiple scholarships simultaneously?,Neutral
What is the monthly hostel fee for postgraduate students?,Neutral
The revaluation process was handled efficiently.,Positive
Discriminatory remarks were made by a professor in class.,Negative
What is the last date for fee payment this semester?,Neutral
How do I apply for a room change?,Neutral
"Result was declared faster than expected, appreciated.",Positive
The finance department is not responding to my refund request.,Negative
There is a case of ragging in my hostel block.,Negative
The hostel fee receipt has not been generated after payment.,Negative
I appreciate the quick action taken on my grievance.,Positive
The challan generated has incorrect details.,Negative
The company I was placed in has deferred joining by 13 months.,Negative
I was asked to submit documents twice but still no confirmation.,Negative
What is the process to apply for revaluation?,Neutral
My grade sheet shows incorrect marks for the third semester.,Negative
I was removed from the placement list due to a clerical error.,Negative
When does hostel allotment happen for new students?,Neutral
The placement cell kept us informed about every drive.,Positive
Thank you for processing my scholarship renewal on time.,Positive
What is the procedure to vacate the hostel at year end?,Neutral
I appreciate the quick action taken on my grievance.,Positive
I was asked to submit documents twice but still no confirmation.,Negative
Is there a student ombudsman at this university?,Neutral
The mock interviews organised by placement cell were excellent.,Positive
I appreciate the extended fee deadline during exam time.,Positive
Thank you for processing my scholarship renewal on time.,Positive
The faculty is not conducting classes regularly.,Negative
How many attempts are allowed for a backlog paper?,Neutral
The hostel gate is being closed before the permitted time.,Negative
The hostel room allotted to me is not clean.,Negative
